Gene	Slope	P-value
DDX11L1	-0.23651844914768147	0.17746914983068662
WASH7P	-1.5314815278258567	0.7308221709531122
MIR6859-1	-0.022865352420077853	0.1889615864501075
MIR1302-2HG	-0.03085721219539741	0.5311211440785695
FAM138A	-0.07463642541867982	0.2412533906490111
OR4G4P	-0.15366237726390952	0.09443384223287585
OR4G11P	-0.19431680831631754	0.03936225295434736
OR4F5	-0.31116133679843794	0.02581850882206685
RP11-34P13.7	5.072432805333569	0.006511793171838016
CICP27	19.464423180097423	0.08182355962301113
RP11-34P13.15	319.2425159408153	0.08580627664321232
RP11-34P13.16	178.67167390013017	0.06970199640222394
RP11-34P13.14	11.273486602485754	0.016405500987685746
RP11-34P13.13	-2.802374794045695	0.4944923086765026
RNU6-1100P	0.0016076938343058018	0.9405963133762936
RP11-34P13.9	0.094335112919859	0.05084266236266744
ABC7-43046700E7.1	-0.41525203559955215	0.6043445736204738
RP11-34P13.18	-11.605988105039117	0.09344104531242046
MIR6859-2	-0.0026145961428151055	0.8021839624247404
AP006222.2	20.90040118634808	0.04412318800317166
RPL23AP24	0.19013874308727874	0.1817438031289286
RP5-857K21.15	-0.006427339942675015	0.8326026999509266
RP4-669L17.2	-0.11134653587475984	0.01610061685646812
RP4-669L17.10	-0.244964882013852	0.922654544695366
WBP1LP7	0.04784856462306201	0.44438769926830524
OR4F29	-0.01049958686106188	0.9131474606853882
CICP7	0.05485648005825662	0.7213095510356563
RP4-669L17.8	-2.0041102607211876	0.6411287855604588
U6	0.13097813744901635	0.005594587892336796
RP5-857K21.4	-0.010576647378013834	0.9543809156851507
RP5-857K21.2	-0.018245976273787802	0.21776063176855115
MTND1P23	45.56953423238373	0.7528800265434172
MTND2P28	-213.76170600948862	0.2211845902354093
MTCO1P12	-54.73024898759808	0.8002227805748057
MTCO2P12	-40.007179506236774	0.23048163394199503
MTATP8P1	-2.586828878654525	0.14684912239544126
MTATP6P1	-1857.5472990101314	0.018052921812293024
MTCO3P12	-10.508757191902072	0.7074446607556939
WBP1LP6	-0.08209433270504889	0.0382465462807151
OR4F16	-0.07092260019753724	0.33922853948015674
RP11-206L10.17	0.0	
CICP3	0.30713817484511174	0.28636540027738905
RP11-206L10.2	-15.304391599123493	0.5330910666664267
RNU6-1199P	0.02894132380047494	0.17125995655582452
RP11-206L10.4	0.07032129186629857	0.25717137666425666
RP11-206L10.9	2.0693459699189085	0.017795157703403557
RP11-206L10.8	0.4039394149960143	0.3740560001624794
FAM87B	-0.058669502651253404	0.8407024835687492
LINC01128	-16.62668324512858	0.19253395523436484
LINC00115	-1.1198228347405996	0.6800961583308677
FAM41C	0.13661727344604765	0.7334098800724134
TUBB8P11	-0.1612691966567424	0.44102061354328614
FAM166AP3	0.0023262807402719137	0.9671783773330069
RP11-54O7.16	-0.003885924514002135	0.9605942508913512
RP11-54O7.1	0.052115198244074804	0.8420754846975952
RP11-54O7.2	-0.009202778497095037	0.19189858536933793
RP11-54O7.3	-0.007196784873313617	0.9686198472229616
SAMD11	-0.7179264289965094	0.19891885848739252
NOC2L	-127.96827672154328	0.0003030298563587424
KLHL17	-27.855655594016817	0.040871330135343914
PLEKHN1	-5.8075039548708975	0.0014454596896022554
PERM1	-3.8319638124515656	0.809934758392033
RP11-54O7.17	-3.801683611784563	0.14044755426277106
HES4	-47.09288272058947	0.035602969280208466
ISG15	-72.54171216704363	0.7603252280075248
RP11-54O7.10	0.012763023133328274	0.7437044564050141
RP11-54O7.11	-0.03238904084086034	0.6744441531514694
AGRN	15.814221329807028	0.1642608038469923
RP11-465B22.3	-3.0011624860451134	0.019812749938070705
RP11-54O7.18	-0.26281765127019835	0.19818590396157448
RNF223	0.7818297408695128	0.1949226993569131
C1orf159	-60.68888763079712	0.0003727114333968193
LINC01342	0.6305875090810259	0.5738881092278183
MIR200B	0.0421836065426403	0.03364486144489101
MIR200A	0.013298764040253985	0.499742754103636
