Gene	Slope	P-value
DDX11L1	DDX11L1	DDX11L1
WASH7P	WASH7P	WASH7P
MIR6859-1	MIR6859-1	MIR6859-1
MIR1302-2HG	MIR1302-2HG	MIR1302-2HG
FAM138A	FAM138A	FAM138A
OR4G4P	OR4G4P	OR4G4P
OR4G11P	OR4G11P	OR4G11P
OR4F5	OR4F5	OR4F5
RP11-34P13.7	RP11-34P13.7	RP11-34P13.7
CICP27	CICP27	CICP27
RP11-34P13.15	RP11-34P13.15	RP11-34P13.15
RP11-34P13.16	RP11-34P13.16	RP11-34P13.16
RP11-34P13.14	RP11-34P13.14	RP11-34P13.14
RP11-34P13.13	RP11-34P13.13	RP11-34P13.13
RNU6-1100P	RNU6-1100P	RNU6-1100P
RP11-34P13.9	RP11-34P13.9	RP11-34P13.9
ABC7-43046700E7.1	ABC7-43046700E7.1	ABC7-43046700E7.1
RP11-34P13.18	RP11-34P13.18	RP11-34P13.18
MIR6859-2	MIR6859-2	MIR6859-2
AP006222.2	AP006222.2	AP006222.2
RPL23AP24	RPL23AP24	RPL23AP24
RP5-857K21.15	RP5-857K21.15	RP5-857K21.15
RP4-669L17.2	RP4-669L17.2	RP4-669L17.2
RP4-669L17.10	RP4-669L17.10	RP4-669L17.10
WBP1LP7	WBP1LP7	WBP1LP7
OR4F29	OR4F29	OR4F29
CICP7	CICP7	CICP7
RP4-669L17.8	RP4-669L17.8	RP4-669L17.8
U6	U6	U6
RP5-857K21.4	RP5-857K21.4	RP5-857K21.4
RP5-857K21.2	RP5-857K21.2	RP5-857K21.2
MTND1P23	MTND1P23	MTND1P23
MTND2P28	MTND2P28	MTND2P28
MTCO1P12	MTCO1P12	MTCO1P12
MTCO2P12	MTCO2P12	MTCO2P12
MTATP8P1	MTATP8P1	MTATP8P1
MTATP6P1	MTATP6P1	MTATP6P1
MTCO3P12	MTCO3P12	MTCO3P12
WBP1LP6	WBP1LP6	WBP1LP6
OR4F16	OR4F16	OR4F16
RP11-206L10.17	RP11-206L10.17	RP11-206L10.17
CICP3	CICP3	CICP3
RP11-206L10.2	RP11-206L10.2	RP11-206L10.2
RNU6-1199P	RNU6-1199P	RNU6-1199P
RP11-206L10.4	RP11-206L10.4	RP11-206L10.4
RP11-206L10.9	RP11-206L10.9	RP11-206L10.9
RP11-206L10.8	RP11-206L10.8	RP11-206L10.8
FAM87B	FAM87B	FAM87B
LINC01128	LINC01128	LINC01128
LINC00115	LINC00115	LINC00115
FAM41C	FAM41C	FAM41C
TUBB8P11	TUBB8P11	TUBB8P11
FAM166AP3	FAM166AP3	FAM166AP3
RP11-54O7.16	RP11-54O7.16	RP11-54O7.16
RP11-54O7.1	RP11-54O7.1	RP11-54O7.1
RP11-54O7.2	RP11-54O7.2	RP11-54O7.2
RP11-54O7.3	RP11-54O7.3	RP11-54O7.3
SAMD11	SAMD11	SAMD11
NOC2L	NOC2L	NOC2L
KLHL17	KLHL17	KLHL17
PLEKHN1	PLEKHN1	PLEKHN1
PERM1	PERM1	PERM1
RP11-54O7.17	RP11-54O7.17	RP11-54O7.17
HES4	HES4	HES4
ISG15	ISG15	ISG15
RP11-54O7.10	RP11-54O7.10	RP11-54O7.10
RP11-54O7.11	RP11-54O7.11	RP11-54O7.11
AGRN	AGRN	AGRN
RP11-465B22.3	RP11-465B22.3	RP11-465B22.3
RP11-54O7.18	RP11-54O7.18	RP11-54O7.18
RNF223	RNF223	RNF223
C1orf159	C1orf159	C1orf159
LINC01342	LINC01342	LINC01342
MIR200B	MIR200B	MIR200B
MIR200A	MIR200A	MIR200A
MIR429	MIR429	MIR429
RP11-465B22.8	RP11-465B22.8	RP11-465B22.8
TTLL10-AS1	TTLL10-AS1	TTLL10-AS1
TTLL10	TTLL10	TTLL10
TNFRSF18	TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4	TNFRSF4
SDF4	SDF4	SDF4
B3GALT6	B3GALT6	B3GALT6
C1QTNF12	C1QTNF12	C1QTNF12
RP5-902P8.12	RP5-902P8.12	RP5-902P8.12
UBE2J2	UBE2J2	UBE2J2
LINC01786	LINC01786	LINC01786
SCNN1D	SCNN1D	SCNN1D
ACAP3	ACAP3	ACAP3
MIR6726	MIR6726	MIR6726
PUSL1	PUSL1	PUSL1
INTS11	INTS11	INTS11
MIR6727	MIR6727	MIR6727
RP5-890O3.9	RP5-890O3.9	RP5-890O3.9
CPTP	CPTP	CPTP
TAS1R3	TAS1R3	TAS1R3
DVL1	DVL1	DVL1
MIR6808	MIR6808	MIR6808
MXRA8	MXRA8	MXRA8
AURKAIP1	AURKAIP1	AURKAIP1
NDUFB4P8	NDUFB4P8	NDUFB4P8
CCNL2	CCNL2	CCNL2
RP4-758J18.2	RP4-758J18.2	RP4-758J18.2
MRPL20	MRPL20	MRPL20
RP4-758J18.13	RP4-758J18.13	RP4-758J18.13
ANKRD65	ANKRD65	ANKRD65
RP4-758J18.7	RP4-758J18.7	RP4-758J18.7
TMEM88B	TMEM88B	TMEM88B
LINC01770	LINC01770	LINC01770
VWA1	VWA1	VWA1
ATAD3C	ATAD3C	ATAD3C
ATAD3B	ATAD3B	ATAD3B
ATAD3A	ATAD3A	ATAD3A
TMEM240	TMEM240	TMEM240
SSU72	SSU72	SSU72
RP5-832C2.5	RP5-832C2.5	RP5-832C2.5
RP11-345P4.11	RP11-345P4.11	RP11-345P4.11
FNDC10	FNDC10	FNDC10
RP11-345P4.9	RP11-345P4.9	RP11-345P4.9
MIB2	MIB2	MIB2
MMP23B	MMP23B	MMP23B
CDK11B	CDK11B	CDK11B
RP11-345P4.10	RP11-345P4.10	RP11-345P4.10
SLC35E2B	SLC35E2B	SLC35E2B
RP11-345P4.6	RP11-345P4.6	RP11-345P4.6
MMP23A	MMP23A	MMP23A
CDK11A	CDK11A	CDK11A
RP1-283E3.4	RP1-283E3.4	RP1-283E3.4
SLC35E2	SLC35E2	SLC35E2
NADK	NADK	NADK
GNB1	GNB1	GNB1
RP1-140A9.1	RP1-140A9.1	RP1-140A9.1
CALML6	CALML6	CALML6
TMEM52	TMEM52	TMEM52
CFAP74	CFAP74	CFAP74
RP11-547D24.1	RP11-547D24.1	RP11-547D24.1
GABRD	GABRD	GABRD
RP11-547D24.3	RP11-547D24.3	RP11-547D24.3
PRKCZ	PRKCZ	PRKCZ
RP5-892K4.1	RP5-892K4.1	RP5-892K4.1
PRKCZ-AS1	PRKCZ-AS1	PRKCZ-AS1
FAAP20	FAAP20	FAAP20
RP11-181G12.4	RP11-181G12.4	RP11-181G12.4
SKI	SKI	SKI
MORN1	MORN1	MORN1
RP4-713A8.1	RP4-713A8.1	RP4-713A8.1
RP4-740C4.5	RP4-740C4.5	RP4-740C4.5
RP4-740C4.7	RP4-740C4.7	RP4-740C4.7
RER1	RER1	RER1
PEX10	PEX10	PEX10
PLCH2	PLCH2	PLCH2
RP3-395M20.2	RP3-395M20.2	RP3-395M20.2
RP3-395M20.3	RP3-395M20.3	RP3-395M20.3
PANK4	PANK4	PANK4
HES5	HES5	HES5
RP3-395M20.12	RP3-395M20.12	RP3-395M20.12
RP3-395M20.8	RP3-395M20.8	RP3-395M20.8
TNFRSF14	TNFRSF14	TNFRSF14
RP3-395M20.7	RP3-395M20.7	RP3-395M20.7
RP3-395M20.9	RP3-395M20.9	RP3-395M20.9
FAM213B	FAM213B	FAM213B
MMEL1	MMEL1	MMEL1
RP13-436F16.1	RP13-436F16.1	RP13-436F16.1
TTC34	TTC34	TTC34
ABC14-1188822O7.1	ABC14-1188822O7.1	ABC14-1188822O7.1
RP11-740P5.2	RP11-740P5.2	RP11-740P5.2
RP11-740P5.3	RP11-740P5.3	RP11-740P5.3
ACTRT2	ACTRT2	ACTRT2
LINC00982	LINC00982	LINC00982
PRDM16	PRDM16	PRDM16
MIR4251	MIR4251	MIR4251
RP1-163G9.2	RP1-163G9.2	RP1-163G9.2
RP11-193J6.1	RP11-193J6.1	RP11-193J6.1
RP11-22L13.1	RP11-22L13.1	RP11-22L13.1
ARHGEF16	ARHGEF16	ARHGEF16
RP11-168F9.2	RP11-168F9.2	RP11-168F9.2
MEGF6	MEGF6	MEGF6
MIR551A	MIR551A	MIR551A
RP11-46F15.2	RP11-46F15.2	RP11-46F15.2
TPRG1L	TPRG1L	TPRG1L
WRAP73	WRAP73	WRAP73
TP73	TP73	TP73
RP5-1092A11.5	RP5-1092A11.5	RP5-1092A11.5
RP5-1092A11.2	RP5-1092A11.2	RP5-1092A11.2
TP73-AS1	TP73-AS1	TP73-AS1
CCDC27	CCDC27	CCDC27
SMIM1	SMIM1	SMIM1
LRRC47	LRRC47	LRRC47
RN7SL574P	RN7SL574P	RN7SL574P
RP1-286D6.5	RP1-286D6.5	RP1-286D6.5
CEP104	CEP104	CEP104
DFFB	DFFB	DFFB
C1orf174	C1orf174	C1orf174
LINC01134	LINC01134	LINC01134
LINC01346	LINC01346	LINC01346
LINC01345	LINC01345	LINC01345
EEF1DP6	EEF1DP6	EEF1DP6
LINC01777	LINC01777	LINC01777
RP1-37J18.1	RP1-37J18.1	RP1-37J18.1
LINC01646	LINC01646	LINC01646
AJAP1	AJAP1	AJAP1
RP11-542C10.1	RP11-542C10.1	RP11-542C10.1
RP1-58B11.1	RP1-58B11.1	RP1-58B11.1
RP3-491M17.1	RP3-491M17.1	RP3-491M17.1
RP11-154H17.1	RP11-154H17.1	RP11-154H17.1
MIR4417	MIR4417	MIR4417
MIR4689	MIR4689	MIR4689
NPHP4	NPHP4	NPHP4
KCNAB2	KCNAB2	KCNAB2
CHD5	CHD5	CHD5
RPL22	RPL22	RPL22
RP1-120G22.11	RP1-120G22.11	RP1-120G22.11
RNF207	RNF207	RNF207
ICMT	ICMT	ICMT
LINC00337	LINC00337	LINC00337
HES3	HES3	HES3
GPR153	GPR153	GPR153
ACOT7	ACOT7	ACOT7
HES2	HES2	HES2
ESPN	ESPN	ESPN
MIR4252	MIR4252	MIR4252
RP1-202O8.2	RP1-202O8.2	RP1-202O8.2
TNFRSF25	TNFRSF25	TNFRSF25
PLEKHG5	PLEKHG5	PLEKHG5
NOL9	NOL9	NOL9
RNU6-731P	RNU6-731P	RNU6-731P
RP11-58A11.2	RP11-58A11.2	RP11-58A11.2
TAS1R1	TAS1R1	TAS1R1
ZBTB48	ZBTB48	ZBTB48
KLHL21	KLHL21	KLHL21
PHF13	PHF13	PHF13
THAP3	THAP3	THAP3
DNAJC11	DNAJC11	DNAJC11
LINC01672	LINC01672	LINC01672
RP11-312B8.1	RP11-312B8.1	RP11-312B8.1
CAMTA1	CAMTA1	CAMTA1
RP11-312B8.2	RP11-312B8.2	RP11-312B8.2
RP11-334N17.1	RP11-334N17.1	RP11-334N17.1
RNU1-8P	RNU1-8P	RNU1-8P
CAMTA1-IT1	CAMTA1-IT1	CAMTA1-IT1
RP3-453P22.2	RP3-453P22.2	RP3-453P22.2
RP4-549F15.1	RP4-549F15.1	RP4-549F15.1
RP11-338N10.1	RP11-338N10.1	RP11-338N10.1
RP11-338N10.2	RP11-338N10.2	RP11-338N10.2
RP11-338N10.3	RP11-338N10.3	RP11-338N10.3
VAMP3	VAMP3	VAMP3
RP3-467L1.6	RP3-467L1.6	RP3-467L1.6
PER3	PER3	PER3
RP3-467L1.4	RP3-467L1.4	RP3-467L1.4
UTS2	UTS2	UTS2
TNFRSF9	TNFRSF9	TNFRSF9
RP5-892F13.2	RP5-892F13.2	RP5-892F13.2
PARK7	PARK7	PARK7
Y_RNA	Y_RNA	Y_RNA
ERRFI1	ERRFI1	ERRFI1
RP11-431K24.1	RP11-431K24.1	RP11-431K24.1
CTA-215D11.4	CTA-215D11.4	CTA-215D11.4
RP11-431K24.2	RP11-431K24.2	RP11-431K24.2
LINC01714	LINC01714	LINC01714
RNU1-7P	RNU1-7P	RNU1-7P
RP11-431K24.4	RP11-431K24.4	RP11-431K24.4
RNU6-991P	RNU6-991P	RNU6-991P
SLC45A1	SLC45A1	SLC45A1
RERE	RERE	RERE
RP5-1115A15.1	RP5-1115A15.1	RP5-1115A15.1
SNORA77	SNORA77	SNORA77
RP5-1115A15.2	RP5-1115A15.2	RP5-1115A15.2
RPL7P11	RPL7P11	RPL7P11
RPL7P7	RPL7P7	RPL7P7
RP4-633I8.3	RP4-633I8.3	RP4-633I8.3
RP4-633I8.4	RP4-633I8.4	RP4-633I8.4
RPL23AP19	RPL23AP19	RPL23AP19
ENO1	ENO1	ENO1
MIR6728	MIR6728	MIR6728
ENO1-IT1	ENO1-IT1	ENO1-IT1
ENO1-AS1	ENO1-AS1	ENO1-AS1
RNU6-304P	RNU6-304P	RNU6-304P
HMGN2P17	HMGN2P17	HMGN2P17
